customer_id,employee_count,company_size,tenure_months,contract_value_annual,modules_subscribed,has_payroll_module,active_users_ratio,monthly_active_users,support_tickets_per_month,health_score,training_sessions_attended,onboarding_completed,features_used_ratio,avg_logins_per_user_month,last_qbr_attendance,payment_delays_last_year,critical_issues_last_quarter,industry,churned
CUST0049,518,medium,108,72563.38,4,0,0.71,369,1.39,62.5,4,1,1.0,15.5,1,2,0,Retail,0
CUST0050,21,startup,12,2119.92,1,0,0.87,18,0.71,100.0,2,1,0.75,14.53,1,1,1,Technology,0
CUST0051,322,medium,12,43448.67,6,0,0.73,233,1.26,50.0,2,1,0.75,15.04,1,3,1,Technology,1
CUST0052,34,startup,24,5633.08,1,0,0.56,19,1.4,75.0,3,1,0.75,13.13,0,2,2,Technology,1
CUST0053,342,medium,48,41635.25,5,0,0.21,70,1.82,37.5,2,1,1.0,4.93,0,2,0,Retail,0
CUST0054,450,medium,48,70096.31,2,0,0.21,92,2.12,50.0,3,1,0.75,4.78,1,3,0,Technology,0
CUST0055,245,medium,24,29954.69,6,0,0.72,177,3.42,87.5,2,1,0.75,10.18,0,3,0,Retail,0
CUST0056,360,medium,180,47572.48,1,0,0.83,298,3.13,62.5,1,1,0.75,18.77,1,2,0,Technology,0
CUST0057,351,medium,108,60128.39,1,0,0.22,76,0.65,37.5,3,1,1.0,3.13,0,2,1,Retail,0
CUST0058,72,small,24,12369.52,3,0,0.23,16,3.65,50.0,3,1,0.75,5.38,1,2,2,Technology,0
CUST0059,130,small,84,16002.65,3,0,0.83,108,1.21,100.0,3,1,1.0,19.33,0,2,0,Technology,0
CUST0060,133,small,84,16139.33,1,0,0.71,95,2.81,50.0,2,1,0.75,17.15,1,3,0,Technology,0
CUST0061,153,small,108,25068.71,1,0,0.75,115,2.59,62.5,3,1,1.0,10.95,1,2,0,Technology,0
CUST0062,170,small,120,22980.69,1,0,0.99,167,1.18,100.0,2,1,0.75,19.61,1,2,0,Technology,0
CUST0063,725,medium,324,79425.17,5,0,0.73,530,1.67,62.5,2,1,0.75,14.56,0,3,0,Technology,0
CUST0064,1344,enterprise,252,232717.91,6,0,0.24,320,1.92,25.0,3,1,0.75,5.3,0,2,0,Retail,0
CUST0065,561,medium,204,90453.07,1,0,0.74,417,3.93,75.0,2,1,0.75,9.6,1,2,0,Technology,0
CUST0066,756,medium,60,75475.9,2,0,0.7,528,2.29,87.5,2,1,0.75,13.25,1,2,1,Technology,0
CUST0067,66,small,72,7827.51,1,0,0.46,30,1.72,50.0,3,1,0.75,9.72,1,3,1,Technology,0
CUST0068,600,medium,12,66567.11,2,0,0.18,108,3.9,37.5,2,1,0.75,4.33,1,2,0,Technology,0
CUST0069,220,medium,36,31277.26,4,0,0.19,41,0.6,37.5,2,1,0.75,3.67,0,2,0,Technology,0
CUST0070,84,small,12,10292.34,1,0,0.59,49,7.77,87.5,0,1,0.75,14.1,0,3,1,Technology,1
CUST0071,880,medium,48,155368.6,6,0,0.62,546,0.69,50.0,2,1,0.75,9.21,0,3,0,Retail,0
CUST0072,132,small,60,17002.02,1,0,0.45,58,1.98,62.5,3,1,1.0,10.43,1,2,1,Technology,0
CUST0073,17,startup,12,3040.92,1,0,0.43,7,1.57,62.5,4,1,0.75,7.62,1,2,0,Technology,0
CUST0074,450,medium,120,66531.54,1,0,0.38,172,3.55,50.0,3,1,0.75,7.75,1,2,2,Technology,0
CUST0075,50,startup,12,8709.99,3,0,0.99,49,3.64,75.0,3,1,0.75,13.35,1,1,1,Technology,0
CUST0076,242,medium,132,24533.91,1,0,0.92,223,0.69,87.5,2,1,1.0,20.83,1,2,0,Technology,0
CUST0077,624,medium,180,63761.66,1,0,0.23,144,3.38,50.0,2,1,0.75,4.25,1,3,1,Retail,0
CUST0078,476,medium,0,55521.74,4,0,0.24,115,4.37,62.5,3,0,0.75,3.43,1,2,1,Technology,0
CUST0079,352,medium,60,34325.61,4,0,0.64,224,5.8,50.0,3,1,0.75,10.99,1,2,0,Technology,0
CUST0080,544,medium,48,84525.2,6,1,0.48,262,1.04,50.0,2,1,1.0,8.62,1,2,0,Services,0
CUST0081,220,medium,120,27082.28,1,0,0.82,180,2.82,100.0,1,1,0.75,11.02,0,3,0,Technology,0
CUST0082,66,small,72,8148.88,1,0,0.62,41,3.85,62.5,3,1,0.75,13.57,1,3,0,Technology,0
CUST0083,672,medium,12,78700.6,3,0,0.8,539,0.62,62.5,4,1,0.75,12.03,1,2,0,Retail,0
CUST0084,697,medium,156,73025.29,6,0,0.77,534,1.16,75.0,3,1,0.75,14.41,1,4,0,Technology,0
CUST0085,155,small,60,19340.11,1,0,0.44,67,1.89,37.5,2,1,0.75,6.36,1,2,1,Technology,0
CUST0086,1295,enterprise,72,135330.55,4,0,0.7,912,6.22,100.0,3,1,0.75,12.94,0,4,0,Technology,0
CUST0087,102,small,0,12387.42,3,0,0.23,23,1.98,50.0,3,0,0.75,4.99,1,2,0,Retail,0
CUST0088,490,medium,48,51642.08,3,0,0.83,406,5.89,100.0,4,1,1.0,14.88,1,2,0,Technology,0
CUST0089,297,medium,132,46377.02,1,0,0.88,262,3.43,87.5,3,1,0.75,12.21,1,3,0,Technology,0
CUST0090,288,medium,108,32377.68,1,0,0.93,269,1.0,87.5,3,1,0.75,17.57,1,3,0,Retail,1
CUST0091,792,medium,264,83720.77,1,0,0.39,311,0.63,62.5,3,1,1.0,8.45,0,3,0,Technology,0
CUST0092,484,medium,120,77072.76,1,0,0.87,418,1.67,87.5,2,1,1.0,17.64,0,2,2,Retail,0
CUST0093,231,medium,132,29398.13,1,0,0.39,89,2.68,62.5,4,1,0.75,5.3,0,3,0,Retail,0
CUST0094,420,medium,120,41813.45,2,0,0.24,99,3.89,50.0,5,1,0.75,5.14,0,3,0,Technology,0
CUST0095,252,medium,132,39123.08,1,0,0.75,188,6.63,62.5,0,1,0.75,18.5,1,2,0,Retail,0
CUST0096,720,medium,48,73429.78,6,0,0.62,443,2.34,50.0,5,1,0.75,10.2,0,2,0,Technology,0
CUST0097,176,small,36,29542.92,1,0,0.73,128,2.18,50.0,2,1,1.0,12.84,0,2,1,Retail,0
CUST0098,140,small,60,16253.8,1,0,0.58,81,1.76,62.5,3,1,0.75,10.56,1,2,1,Retail,0
CUST0099,1824,enterprise,444,244809.61,1,0,0.62,1136,2.81,87.5,1,1,0.75,14.26,0,2,2,Retail,0
CUST0100,476,medium,36,52422.59,4,0,0.41,197,1.39,50.0,3,1,0.75,8.76,1,2,0,Technology,0
CUST0101,203,medium,36,27163.41,4,1,0.24,48,1.48,50.0,3,1,1.0,3.54,1,2,0,Services,1
CUST0102,36,startup,12,4945.21,1,0,0.22,8,1.32,62.5,2,1,0.75,3.34,1,2,0,Technology,0
CUST0103,10,startup,12,1700.13,1,0,0.95,9,2.47,100.0,5,1,0.75,18.55,1,3,2,Technology,1
CUST0104,464,medium,192,46067.76,1,0,0.61,284,3.23,50.0,3,1,0.75,10.08,1,2,1,Technology,0
CUST0105,629,medium,12,81264.61,5,0,0.83,522,1.57,87.5,2,1,0.75,12.76,1,3,1,Technology,0
CUST0106,630,medium,36,89310.63,6,1,0.98,618,0.89,87.5,3,1,1.0,24.41,1,3,1,Services,0
CUST0107,1372,enterprise,96,226430.6,3,0,0.37,506,6.46,37.5,1,1,0.75,5.88,0,2,0,Technology,0
CUST0108,84,small,72,13365.58,1,0,0.64,53,0.62,75.0,1,1,0.75,12.59,1,3,1,Retail,1
CUST0109,48,startup,24,5014.74,1,0,0.85,40,3.95,100.0,2,1,0.75,15.29,1,3,1,Technology,0
CUST0110,48,startup,0,5952.12,1,0,0.85,40,2.99,75.0,5,0,0.75,11.31,1,2,1,Technology,0
CUST0111,598,medium,156,71932.09,3,0,0.24,145,2.15,25.0,1,1,1.0,6.0,0,3,1,Technology,0
CUST0112,153,small,108,21146.31,1,0,0.57,86,1.51,50.0,3,1,1.0,10.8,1,4,0,Technology,1
CUST0113,322,medium,60,55653.02,2,1,0.87,279,3.91,100.0,3,1,0.75,17.44,1,1,0,Services,0
CUST0114,252,medium,60,30813.41,1,0,0.63,158,1.7,62.5,2,1,0.75,9.57,1,2,1,Technology,0
CUST0115,552,medium,12,92171.54,6,0,0.47,259,1.38,62.5,3,1,0.75,7.89,1,3,0,Technology,0
CUST0116,396,medium,60,38612.7,2,0,0.92,362,3.56,87.5,3,1,0.75,22.89,1,2,0,Retail,0
CUST0117,546,medium,132,55729.93,2,0,0.22,117,1.45,50.0,6,1,0.75,3.91,1,3,0,Technology,0
CUST0118,450,medium,108,68531.93,1,0,0.79,354,3.78,75.0,6,1,0.75,18.68,1,2,0,Retail,0
CUST0119,133,small,12,19894.98,5,0,0.77,102,5.03,62.5,2,1,1.0,13.57,1,2,0,Technology,0
CUST0120,700,medium,300,91960.44,1,0,0.71,498,0.95,87.5,3,1,0.75,11.56,1,2,0,Retail,0
CUST0121,300,medium,120,47834.52,1,0,0.65,193,2.52,50.0,2,1,1.0,15.74,0,4,0,Technology,0
CUST0122,272,medium,84,40469.92,1,0,0.47,128,7.73,62.5,2,1,0.75,10.64,1,2,0,Retail,0
CUST0123,287,medium,60,47982.49,6,0,0.36,104,3.59,50.0,2,1,0.75,5.07,1,2,0,Technology,1
CUST0124,322,medium,240,48186.19,6,0,0.71,228,1.96,50.0,5,1,0.75,12.38,1,2,1,Technology,0
CUST0125,456,medium,84,45809.5,4,0,0.66,298,1.94,62.5,3,1,0.75,15.51,0,4,0,Retail,1
CUST0126,50,startup,60,5019.69,1,0,0.4,19,3.3,62.5,3,1,0.75,8.87,0,3,1,Technology,0
CUST0127,1040,enterprise,480,165640.63,1,0,0.73,763,1.06,100.0,3,1,0.75,16.7,0,2,1,Technology,1
CUST0128,0,,0,0.0,1,0,0.59,0,1.11,87.5,2,0,0.75,9.35,0,2,0,Retail,1
CUST0129,63,small,24,6554.21,1,0,0.88,55,2.63,87.5,2,1,0.75,14.17,1,2,0,Technology,0
CUST0130,688,medium,180,84139.75,1,0,0.23,157,3.29,50.0,2,1,0.75,3.91,0,2,1,Technology,0
CUST0131,216,medium,36,31819.91,4,0,0.56,120,1.55,62.5,2,1,0.75,8.23,1,1,0,Technology,0
CUST0132,240,medium,24,41845.17,4,0,0.95,227,1.33,87.5,3,1,0.75,16.82,1,2,1,Retail,0
CUST0133,88,small,24,8790.18,3,0,0.65,57,1.05,62.5,2,1,0.75,14.78,1,4,0,Retail,1
CUST0134,456,medium,108,44839.76,3,0,0.53,242,1.52,75.0,2,1,0.75,11.29,1,2,0,Retail,0
CUST0135,280,medium,96,33421.28,1,1,0.68,190,1.6,75.0,3,1,1.0,12.97,1,2,0,Services,0
CUST0136,91,small,36,14258.83,6,0,0.46,41,0.7,50.0,0,1,1.0,6.06,1,2,1,Technology,0
CUST0137,540,medium,48,83321.67,2,0,0.74,401,0.58,62.5,2,1,0.75,12.1,1,4,0,Technology,1
CUST0138,578,medium,180,81572.26,4,0,0.69,400,3.89,87.5,1,1,0.75,10.29,1,3,0,Retail,0
CUST0139,120,small,24,14247.14,2,0,0.63,75,1.75,50.0,3,1,0.75,12.29,1,3,0,Retail,0
CUST0140,552,medium,132,71445.93,1,1,0.87,479,0.68,87.5,2,1,0.75,18.53,0,2,1,Services,0
CUST0141,370,medium,60,66413.59,6,0,0.22,81,7.83,25.0,2,1,1.0,4.75,1,2,0,Technology,1
CUST0142,261,medium,72,34906.81,5,0,0.96,251,1.56,87.5,2,1,0.75,21.31,0,2,0,Technology,0
CUST0143,551,medium,36,64064.61,3,0,0.59,323,5.85,87.5,2,1,1.0,9.2,1,2,0,Technology,0
CUST0144,125,small,60,19276.33,1,0,0.59,74,1.63,50.0,4,1,0.75,11.67,0,2,0,Technology,0
CUST0145,414,medium,96,63419.66,1,0,0.93,384,1.09,100.0,2,1,0.75,19.42,1,4,0,Retail,0
CUST0146,248,medium,36,39038.92,5,0,0.21,52,1.38,62.5,3,1,0.75,4.42,1,2,1,Technology,0
CUST0147,156,small,60,18714.67,1,0,0.79,123,1.8,75.0,3,1,0.75,14.93,1,3,1,Technology,0
CUST0148,336,medium,84,43363.22,4,0,0.21,71,3.18,62.5,2,1,0.75,3.66,0,3,0,Technology,0
CUST0149,91,small,60,11531.61,2,0,0.23,20,1.14,50.0,2,1,1.0,5.03,1,2,3,Technology,0
CUST0150,37,startup,12,6294.06,1,0,0.38,14,1.44,50.0,3,1,0.75,8.9,1,2,0,Technology,0
CUST0151,820,medium,240,90809.85,1,0,0.46,374,3.14,50.0,2,1,0.75,6.86,1,2,0,Technology,0
CUST0152,130,small,120,15290.54,1,0,0.36,46,7.45,62.5,3,1,0.75,5.72,1,2,1,Retail,0
CUST0153,559,medium,84,55022.63,2,0,0.73,405,1.83,62.5,3,1,1.0,12.26,0,2,1,Retail,0
CUST0154,300,medium,204,50115.57,6,0,0.49,146,2.0,50.0,2,1,0.75,9.83,0,2,0,Technology,0
CUST0155,396,medium,108,52414.02,1,0,0.93,367,1.69,75.0,2,1,0.75,19.96,1,2,1,Retail,0
CUST0156,480,medium,120,50714.8,1,0,0.69,330,2.21,87.5,1,1,0.75,11.19,1,2,0,Technology,0
CUST0157,390,medium,12,45718.03,2,0,0.64,250,3.87,62.5,2,1,0.75,10.99,1,3,0,Technology,0
CUST0158,378,medium,12,42625.3,4,0,0.41,153,5.63,50.0,3,1,1.0,5.15,0,3,2,Technology,0
CUST0159,675,medium,144,108401.73,6,0,0.73,491,3.92,87.5,2,1,0.75,17.28,0,3,0,Retail,0
CUST0160,258,medium,48,35553.8,6,0,0.54,139,0.76,75.0,3,1,0.75,8.33,1,2,2,Retail,0
CUST0161,90,small,24,14415.55,1,0,0.96,86,7.78,87.5,6,1,1.0,23.24,1,2,0,Technology,0
CUST0162,294,medium,24,44958.81,6,0,0.45,131,0.72,75.0,1,1,0.75,10.65,0,2,1,Technology,0
CUST0163,185,small,60,29824.47,1,0,0.96,176,1.52,87.5,2,1,0.75,20.43,0,2,0,Technology,0
CUST0164,456,medium,60,73628.21,3,0,0.75,344,3.71,87.5,2,1,0.75,10.45,0,1,1,Technology,0
CUST0165,10,startup,12,1699.2,1,0,0.72,7,1.99,75.0,2,1,0.75,14.4,0,3,1,Technology,0
CUST0166,315,medium,60,42657.33,3,0,0.45,143,4.73,62.5,5,1,0.75,5.75,1,2,0,Technology,0
CUST0167,572,medium,108,69004.38,4,0,0.73,415,2.13,50.0,2,1,0.75,14.64,1,2,1,Technology,0
CUST0168,516,medium,120,58901.34,2,0,0.92,476,3.16,75.0,2,1,0.75,13.81,1,2,0,Retail,0
CUST0169,324,medium,96,50224.62,4,0,0.76,246,2.28,62.5,2,1,1.0,12.99,1,3,1,Retail,0
CUST0170,336,medium,60,36112.5,3,0,0.55,185,5.91,75.0,2,1,1.0,9.23,1,2,1,Technology,0
CUST0171,96,small,60,9592.81,1,0,0.45,43,1.34,62.5,3,1,0.75,7.03,0,2,0,Technology,0
CUST0172,18,startup,0,1794.5,1,0,0.19,3,2.64,50.0,5,0,1.0,4.09,1,4,0,Retail,1
CUST0173,481,medium,96,66227.6,4,0,0.45,214,2.54,75.0,3,1,0.75,7.89,0,2,1,Technology,0
CUST0174,396,medium,144,68155.07,1,0,0.18,71,1.28,50.0,4,1,0.75,2.81,1,2,1,Technology,0
CUST0175,387,medium,60,44290.7,4,0,0.22,85,7.9,50.0,3,1,0.75,4.19,1,2,0,Retail,0
CUST0176,912,medium,24,146940.95,4,0,0.24,215,2.89,50.0,3,1,0.75,4.09,1,2,0,Technology,0
CUST0177,172,small,36,19274.84,1,0,0.86,147,3.56,87.5,2,1,0.75,17.1,1,2,0,Technology,0
CUST0178,13,startup,12,1789.2,1,0,0.88,11,1.53,75.0,3,1,1.0,12.2,0,3,0,Technology,1
CUST0179,1152,enterprise,288,151850.83,1,0,0.23,260,1.55,37.5,2,1,1.0,3.27,1,2,2,Retail,0
CUST0180,60,small,24,10782.43,1,0,0.81,48,2.81,87.5,3,1,0.75,19.71,1,2,0,Technology,0
CUST0181,308,medium,48,39430.3,6,0,0.84,259,3.34,87.5,0,1,1.0,14.89,1,2,1,Technology,0
CUST0182,234,medium,36,34003.59,2,0,0.49,114,1.42,75.0,3,1,0.75,8.3,1,2,0,Technology,0
CUST0183,68,small,48,11787.14,1,0,0.49,33,0.52,50.0,5,1,1.0,9.96,0,2,0,Retail,1
CUST0184,225,medium,36,33155.44,2,0,0.69,156,1.58,75.0,2,1,0.75,10.48,0,3,1,Technology,0
CUST0185,145,small,48,18181.61,1,0,0.23,32,1.42,62.5,3,1,0.75,5.35,1,1,1,Technology,0
CUST0186,232,medium,96,40494.33,1,0,0.36,83,1.25,75.0,5,1,0.75,8.0,1,2,0,Technology,0
CUST0187,861,medium,240,136026.02,1,0,0.74,634,2.52,87.5,2,1,0.75,12.08,1,2,0,Technology,0
CUST0188,1044,enterprise,288,105235.5,6,0,0.44,454,0.57,62.5,3,1,0.75,6.21,1,1,2,Technology,0
CUST0189,160,small,120,20302.83,1,0,0.65,104,2.86,87.5,2,1,0.75,11.09,0,3,0,Technology,0
CUST0190,399,medium,84,62283.27,3,0,0.41,162,1.61,75.0,6,1,0.75,8.99,1,2,0,Technology,0
CUST0191,1258,enterprise,396,147246.04,1,0,0.68,849,4.7,75.0,5,1,0.75,13.49,1,3,0,Technology,0
CUST0192,245,medium,84,34206.57,1,0,0.48,116,1.46,75.0,2,1,0.75,6.27,0,2,0,Technology,0
CUST0193,344,medium,12,37831.82,3,0,0.58,198,4.68,62.5,1,1,0.75,14.06,1,3,0,Technology,1
CUST0194,119,small,60,13315.26,4,0,0.72,86,0.76,100.0,3,1,0.75,15.46,1,1,2,Technology,0
CUST0195,572,medium,240,81428.4,6,0,0.96,547,1.09,62.5,1,1,1.0,13.96,1,3,1,Technology,0
CUST0196,272,medium,96,28742.49,1,0,0.24,65,2.28,37.5,3,1,0.75,5.16,0,1,0,Technology,0
CUST0197,450,medium,72,62604.57,5,0,0.46,206,0.7,50.0,5,1,0.75,9.35,1,2,1,Technology,0
CUST0198,154,small,60,24353.27,2,0,0.57,87,4.43,75.0,5,1,0.75,9.76,1,2,0,Technology,0
CUST0199,672,medium,12,105280.78,6,0,0.57,385,2.71,87.5,3,1,0.75,9.77,1,2,0,Technology,0
CUST0200,351,medium,84,39550.45,3,0,1.0,349,6.58,100.0,3,1,0.75,14.72,0,2,1,Technology,0
CUST0201,246,medium,24,27614.17,5,0,0.22,54,2.14,50.0,1,1,0.75,3.62,1,3,0,Technology,0
CUST0202,259,medium,84,26951.68,1,0,0.88,227,7.16,100.0,0,1,0.75,18.76,1,2,0,Technology,0
CUST0203,50,startup,60,5735.08,1,0,0.58,28,1.69,87.5,4,1,0.75,14.41,1,2,0,Technology,0
CUST0204,330,medium,84,48706.42,6,0,0.77,252,2.7,87.5,2,1,0.75,9.58,1,2,1,Technology,0
CUST0205,544,medium,12,53493.94,6,0,0.21,113,4.35,37.5,2,1,0.75,4.29,1,2,0,Technology,1
CUST0206,430,medium,120,71380.28,1,0,0.97,418,0.98,75.0,3,1,1.0,19.36,0,2,1,Retail,1
CUST0207,168,small,48,27645.77,1,0,0.39,64,5.63,75.0,2,1,0.75,7.44,0,1,2,Technology,0
CUST0208,280,medium,96,46683.98,1,0,0.73,204,7.91,75.0,2,1,0.75,13.89,1,2,0,Technology,0
CUST0209,220,medium,36,29209.04,6,0,0.84,184,1.26,100.0,5,1,0.75,15.42,0,3,1,Technology,0
CUST0210,289,medium,48,40916.9,6,0,0.25,70,3.55,62.5,3,1,0.75,4.56,1,2,0,Technology,0
CUST0211,448,medium,168,77853.65,1,0,0.72,324,2.79,100.0,2,1,0.75,15.09,0,4,0,Retail,1
CUST0212,396,medium,132,60684.58,1,0,0.72,285,3.46,75.0,2,1,1.0,13.68,1,3,1,Technology,0
CUST0213,245,medium,84,23712.26,1,0,0.59,143,0.86,87.5,2,1,0.75,13.21,1,2,0,Retail,0
CUST0214,656,medium,120,95329.62,5,0,0.42,276,1.87,50.0,5,1,0.75,6.06,0,3,1,Technology,0
CUST0215,104,small,60,12888.07,5,0,0.21,22,3.28,62.5,5,1,0.75,4.0,1,2,1,Technology,1
CUST0216,736,medium,12,118374.32,3,0,0.72,533,3.99,100.0,3,1,0.75,14.59,1,2,0,Retail,0
CUST0217,342,medium,72,43274.12,5,0,0.19,64,2.94,50.0,5,1,0.75,3.76,0,3,0,Retail,1
CUST0218,140,small,72,25108.2,1,0,0.53,74,1.89,75.0,1,1,0.75,12.94,0,2,1,Technology,1
CUST0219,575,medium,228,83774.24,6,0,0.92,528,1.16,100.0,2,1,0.75,12.78,1,3,0,Retail,0
CUST0220,544,medium,72,71760.54,2,0,0.19,104,1.39,62.5,4,1,0.75,3.36,1,2,0,Retail,0
CUST0221,784,medium,156,115713.67,6,0,0.45,349,0.83,75.0,3,1,0.75,9.54,1,2,1,Technology,0
CUST0222,91,small,36,9756.0,6,0,0.36,32,1.45,62.5,3,1,1.0,7.34,1,3,0,Technology,0
CUST0223,240,medium,120,24287.94,1,0,0.88,210,2.53,75.0,1,1,0.75,15.97,1,2,0,Technology,0
CUST0224,391,medium,192,59104.48,1,0,0.66,257,3.59,50.0,6,1,0.75,10.19,0,2,0,Retail,0
CUST0225,228,medium,60,24210.81,1,0,0.56,126,0.57,75.0,2,1,0.75,12.05,1,4,0,Technology,0
CUST0226,84,small,12,8407.65,3,0,0.72,60,5.62,87.5,6,1,0.75,11.15,1,3,1,Technology,0
CUST0227,442,medium,108,43124.45,4,0,0.84,373,1.26,62.5,2,1,0.75,18.6,1,2,0,Retail,0
CUST0228,539,medium,132,53902.4,1,0,0.99,531,1.37,75.0,5,1,0.75,15.7,1,2,0,Retail,0
